Date,Bills2,Central bank liquidity swaps8,Federal agency debt securities2,Float,Foreign currency denominated assets10,Foreign official,Gold stock,Inflation compensation3,Loans,Money Market Mutual Fund Liquidity Facility,Mortgage-backed securities4,Net portfolio holdings of Commercial Paper Funding Facility II LLC7,Net portfolio holdings of Corporate Credit Facilities LLC7,Net portfolio holdings of Corporate Credit Facility LLC7,Net portfolio holdings of MS Facilities LLC (Main Street Lending Program)7,Net portfolio holdings of Maiden Lane LLC7,Net portfolio holdings of Municipal Liquidity Facility LLC7,Net portfolio holdings of TALF II LLC7,"Notes and bonds, inflation-indexed2","Notes and bonds, nominal2",Other Federal Reserve assets9,Other credit extensions,Others,Paycheck Protection Program Liquidity Facility,Primary Dealer Credit Facility,Primary credit,Repurchase agreements6,Reserve Bank credit,Seasonal credit,Secondary credit,Securities held outright1,Special drawing rights certificate account,Total factors supplying reserve funds,Treasury currency outstanding11,U.S. Treasury securities,Unamortized discounts on securities held outright5,Unamortized premiums on securities held outright5
2020-07-02,326044,225414,2347,-756,20984,1001,11041,35831,97133,20637,1911381,12799,41940,0,37502,0,16081,8753,270206,3581139,33548,0,60200,68133,2486,5860,61201,6969543,16,0,6126948,5200,7057170,50401,4213220,-5345,314324
2020-07-09,326044,179095,2347,-216,20973,0,11041,35833,93355,18927,1911401,12802,42644,0,37503,0,16082,8753,270206,3599273,36669,0,0,67685,1874,4846,0,6881742,22,0,6145103,5200,6969371,50415,4231355,-5299,315251
2020-07-16,326044,154850,2347,-228,21094,2,11041,35182,93404,18635,1948388,10659,43423,0,37515,0,16084,9439,266914,3625089,37680,0,0,67989,1699,5058,2,6919469,24,0,6203965,5200,7007233,50429,4253229,-5280,317957
2020-07-23,326044,121992,2347,-255,21267,0,11041,35296,92552,17541,1970600,10105,44046,0,37518,0,16085,9439,268113,3636425,39778,0,0,68503,1899,4578,0,6925422,31,0,6238825,5200,7013374,50443,4265878,-5161,320498
2020-07-30,326044,117473,2347,-932,21641,0,11041,35513,90523,14273,1933380,8900,44210,0,37588,0,16086,9439,270514,3661492,40363,0,0,70816,1788,3611,0,6908643,35,0,6229291,5200,6996983,50457,4293563,-5004,320706
2020-06-04,326044,446945,2347,-718,20768,0,11041,36737,101956,29859,1835594,12795,36154,0,0,0,16075,0,259151,3512424,29200,0,211550,55230,5847,11011,211550,7126020,9,0,5972297,5200,7213375,50345,4134356,-5504,305269
2020-06-11,326044,444520,2347,-238,21015,0,11041,36440,98227,26977,1835595,12796,37374,0,31875,0,16077,0,261151,3526774,32348,0,167300,56983,5829,8427,167300,7129995,11,0,5988351,5200,7217611,50359,4150409,-5452,306816
2020-06-18,326044,352470,2347,-216,20866,0,11041,36356,95031,24680,1918741,12797,38916,0,31876,0,16079,0,264552,3542389,33795,0,79053,57552,5306,7479,79053,7055889,13,0,6090428,5200,7143369,50373,4169340,-5366,311026
2020-06-25,326044,274963,2347,-212,20958,1,11041,35884,95360,22889,1943441,12798,40617,0,37502,0,16080,8500,264552,3570924,35830,0,70200,62597,3624,6237,70201,7043367,13,1,6143193,5200,7130953,50387,4197404,-5319,313854
2020-05-07,326044,444885,2347,-241,20521,0,11041,36365,113342,42763,1605380,3988,0,0,0,0,0,0,248266,3409516,39271,0,172700,29181,14903,26494,172700,6682832,0,0,5627918,5200,6769884,50289,4020191,-5534,286502
