Date,Atlanta,Boston,Chicago,Cleveland,Dallas,Kansas,Minneapolis,New York,Philadelphia,Richmond,St. Louis,Total,San Francisco
2020-06-04,388953,182700,355485,243904,315349,95109,57035,4012663,155660,541693,87907,7165217,728758
2020-05-07,379184,145250,357882,205621,306591,94591,49887,3746631,148236,533176,87695,6721420,666677
2020-05-14,390894,139879,362801,213966,311396,94458,50415,3934325,152820,519579,88886,6934227,674810
2020-05-21,377224,139482,370030,221030,311700,93711,56606,4006469,153311,557923,88031,7037258,661741
2020-05-28,384804,139736,372504,226856,317638,93954,56870,4013851,154293,568904,88649,7097316,679257
2020-04-02,356400,168415,361494,184421,296346,90320,46919,3042450,137784,454219,78713,5811607,594126
2020-04-09,350794,152019,357082,180370,293112,87813,44558,3358266,136433,489574,78172,6083141,554948
2020-04-16,364691,161518,350394,208583,309224,91816,47770,3465898,141801,519020,84009,6367887,623161
2020-04-23,371022,139467,348863,196607,300186,89348,47204,3722589,142146,527338,82775,6573136,605590
2020-04-30,377014,146955,359359,194997,305089,90582,50002,3769296,142727,527044,84460,6655929,608403
2020-03-05,319284,127801,240733,131600,212286,70797,43420,2122739,104894,263329,72102,4241507,532523
2020-03-12,319244,108261,267603,135387,216601,71379,42987,2152649,105972,272150,71526,4311911,548153
2020-03-19,319990,123777,310939,154892,216085,76482,43165,2355967,114858,305792,71511,4668212,574753
2020-03-26,340299,144659,343724,176866,281198,81715,44686,2707233,132985,355473,74218,5254278,571221
2020-02-06,308648,97676,223863,132059,203043,68504,39968,2202410,89074,252525,68934,4166707,480005
2020-02-13,310399,88544,226488,136561,203512,68930,40291,2206413,90639,249557,69287,4182689,492069
2020-02-20,307618,98296,227812,131181,203068,68954,40396,2202142,92198,246909,68970,4171570,484026
2020-02-27,312820,96454,237825,130440,206125,70766,42918,2124083,96341,262681,71140,4158637,507044
2020-01-02,317286,109783,252325,141664,204943,74650,41982,2101766,85660,277824,70652,4173626,495092
2020-01-09,313085,89741,237596,128812,202872,70124,41119,2147855,90191,250404,69245,4149544,508499
2020-01-16,310795,101714,236986,127726,202770,69791,40518,2169990,90383,259680,68872,4175850,496625
2020-01-23,304046,94238,226197,126098,195309,67900,40138,2191921,89843,254549,67331,4145912,488343
2020-01-30,301805,92509,228501,124282,195476,67759,39999,2222508,86705,251427,66949,4151630,473711
2019-12-05,315626,94927,237044,139810,205120,68490,40181,2036378,87531,251717,68888,4065696,519984
2019-12-12,310711,91835,233984,148304,202016,68737,40584,2065535,85935,277628,69893,4095491,500328
2019-12-19,307006,91265,235929,137830,200322,68971,41384,2146861,85763,258955,68754,4137052,494012
2019-12-26,306051,94040,234992,138803,197703,68296,41252,2151870,86241,281932,69115,4165591,495295
2019-11-07,310176,86762,228140,131345,202365,66577,39122,2049651,84415,248685,67275,4039443,524931
2019-11-14,310266,88500,222630,135225,201770,68210,40010,2062357,83931,253759,67436,4047882,513788
2019-11-21,307958,91745,224285,134367,200717,68700,39489,2012336,86093,259933,67327,4030249,537298
2019-11-29,313435,95456,229360,141397,200899,68958,41973,2036439,87250,262323,68305,4052875,507078
2019-10-03,309073,93977,230169,123859,199278,63043,38677,1972154,82813,268012,64590,3945831,500185
2019-10-10,312146,84662,221197,131590,200575,64028,38766,1977448,82956,263373,65129,3949955,508084
