Date,Bills,Central Bank Liquidity Swaps,Federal Agency Debt Securities,Float,Foreign Currency Denominated Assets,Foreign Official,Gold Stock,Inflation Compensation,Loans,Money Market Mutual Fund Liquidity Facility,Mortgage-Backed Securities,Net Portfolio Holdings Of Commercial Paper Funding Facility Ii Llc,Net Portfolio Holdings Of Corporate Credit Facilities Llc,Net Portfolio Holdings Of Corporate Credit Facility Llc,Net Portfolio Holdings Of Maiden Lane Llc,Net Portfolio Holdings Of Municipal Liquidity Facility Llc,"Notes And Bonds, Inflation-Indexed","Notes And Bonds, Nominal",Other Federal Reserve Assets,Other Credit Extensions,Others,Paycheck Protection Program Liquidity Facility,Primary Dealer Credit Facility,Primary Credit,Repurchase Agreements,Reserve Bank Credit,Seasonal Credit,Secondary Credit,Securities Held Outright,Special Drawing Rights Certificate Account,Total Factors Supplying Reserve Funds,Treasury Currency Outstanding,U.S. Treasury Securities,Unamortized Discounts On Securities Held Outright,Unamortized Premiums On Securities Held Outright
2020-01-02,169525,3728,2347,-643,20792,0,11041,25474,42,0,1408677,0,0,0,0,0,127384,2006550,24219,0,0,0,0,32,255619,4134215,10,0,3739957,5200,4221387,50138,2328933,-13284,124577
2020-01-09,184527,3728,2347,-124,20632,0,11041,25453,2,0,1408677,0,0,0,0,0,127384,2010350,26691,0,0,0,0,0,210587,4110819,2,0,3758738,5200,4197813,50120,2347714,-13278,124474
2020-01-16,195029,59,2347,-60,20607,0,11041,25485,9,0,1404318,0,0,0,0,0,128005,2014116,27177,0,0,0,0,9,229468,4137142,0,0,3769300,5200,4224124,50134,2362635,-13221,124410
2020-01-23,210031,54,2347,-158,20526,0,11041,25467,0,0,1398642,0,0,0,0,0,128005,2017518,28480,0,0,0,0,0,186076,4107163,0,0,3782010,5200,4194078,50148,2381020,-13272,123974
2020-01-30,232534,51,2347,-675,20499,0,11041,25448,34,0,1387288,0,0,0,0,0,128005,2023121,28899,0,0,0,0,34,175125,4112398,0,0,3798743,5200,4199300,50162,2409108,-13306,123527
2020-02-06,247536,48,2347,-104,20453,0,11041,25418,1,0,1387289,0,0,0,0,0,129451,2025475,30145,0,0,0,0,0,170250,4128065,1,0,3817516,5200,4214936,50176,2427880,-13333,123542
2020-02-13,258038,55,2347,-102,20310,0,11041,25454,0,0,1391526,0,0,0,0,0,131052,2028077,32372,0,0,0,0,0,164400,4144202,0,0,3836494,5200,4230943,50190,2442621,-13266,124249
2020-02-20,265539,67,2347,-117,20112,0,11041,25419,5,0,1385784,0,0,0,0,0,131052,2029678,19217,0,0,0,0,5,163900,4133260,0,0,3839819,5200,4219781,50169,2451688,-13499,123866
2020-02-27,280541,44,2347,-591,20275,0,11041,25385,13,0,1371843,0,0,0,0,0,131052,2037082,18705,0,0,0,0,13,143440,4119718,0,0,3848250,5200,4206417,50183,2474060,-13447,123303
2020-03-05,303042,48,2347,-628,20775,0,11041,25449,1,0,1371846,0,0,0,0,0,131052,2043081,19855,0,0,0,0,1,195000,4202074,0,0,3876816,5200,4289287,50197,2502624,-13425,124406
2020-03-12,321043,58,2347,-312,21147,0,11041,25853,11,0,1371846,0,0,0,0,0,132653,2043482,22014,0,0,0,0,11,242375,4272427,0,0,3897224,5200,4360026,50211,2523031,-13366,124423
2020-03-19,321043,45,2347,-226,20363,0,11041,26579,28224,0,1366676,0,0,0,0,0,138653,2154496,23619,0,0,0,0,28224,441945,4629659,0,0,4009794,5200,4716488,50225,2640771,-12036,138294
2020-03-26,326044,206051,2347,-271,20133,0,11041,29271,109119,30634,1384563,0,0,0,0,0,166932,2456125,25175,0,0,0,27718,50768,352355,5215959,0,0,4365282,5200,5302572,50239,2978372,-10026,168273
2020-04-02,326044,348544,2347,-550,20584,0,11041,31204,129461,52667,1457721,0,0,0,0,0,191725,2791860,28283,0,0,0,33050,43744,263050,5772536,0,0,4800901,5200,5859580,50219,3340832,-8492,211339
2020-04-09,326044,358077,2347,-305,20373,1,11041,32857,129637,53171,1459701,0,0,0,0,0,210625,3064860,32189,0,192750,0,33018,43449,192751,6044516,0,0,5096434,5200,6131363,50233,3634386,-7381,243113
2020-04-16,326044,378291,2347,-361,20525,0,11041,33978,120349,50656,1568171,974,0,0,0,0,222692,3206144,33904,0,181100,0,33409,36284,181100,6329072,0,0,5359376,5200,6416085,50247,3788858,-6896,262334
2020-04-23,326044,409712,2347,-306,20405,0,11041,34972,122088,48810,1622487,2732,0,0,0,0,233692,3314644,36694,0,157500,8009,31526,33742,157500,6534516,0,0,5534186,5200,6621424,50261,3909352,-6128,278037
